,uniform_id,trialid,sentnum,ianum,ia,firstfix_dur,firstrun_dur,dur,firstrun_nfix,nfix
466193,it_48,1.0,3.0,38.0,sull’inizio,154.0,487.0,487.0,3.0,3.0
466194,it_48,1.0,3.0,39.0,e,0.0,0.0,0.0,0.0,0.0
466195,it_48,1.0,3.0,40.0,sulla,236.0,236.0,236.0,1.0,1.0
466196,it_48,1.0,3.0,41.0,fine,0.0,0.0,0.0,0.0,0.0
466197,it_48,1.0,3.0,42.0,dei,158.0,158.0,158.0,1.0,1.0
466198,it_48,1.0,3.0,43.0,"conflitti,",111.0,111.0,370.0,1.0,2.0
466199,it_48,1.0,3.0,44.0,e,0.0,0.0,0.0,0.0,0.0
466200,it_48,1.0,3.0,45.0,quindi,179.0,400.0,400.0,2.0,2.0
466201,it_48,1.0,3.0,46.0,su,117.0,117.0,117.0,1.0,1.0
466202,it_48,1.0,3.0,47.0,guerra,101.0,101.0,101.0,1.0,1.0
466203,it_48,1.0,3.0,48.0,e,128.0,128.0,128.0,1.0,1.0
466204,it_48,1.0,3.0,49.0,pace.,184.0,184.0,184.0,1.0,1.0
466205,it_48,1.0,4.0,50.0,Le,0.0,0.0,0.0,0.0,0.0
466206,it_48,1.0,4.0,51.0,porte,197.0,197.0,197.0,1.0,1.0
466207,it_48,1.0,4.0,52.0,del,181.0,181.0,319.0,1.0,2.0
466208,it_48,1.0,4.0,53.0,suo,195.0,195.0,368.0,1.0,2.0
466209,it_48,1.0,4.0,54.0,tempio,230.0,230.0,230.0,1.0,1.0
466210,it_48,1.0,4.0,55.0,erano,229.0,445.0,721.0,2.0,4.0
466211,it_48,1.0,4.0,56.0,aperte,167.0,347.0,347.0,2.0,2.0
466212,it_48,1.0,4.0,57.0,in,268.0,268.0,268.0,1.0,1.0
466213,it_48,1.0,4.0,58.0,tempo,121.0,121.0,280.0,1.0,2.0
466214,it_48,1.0,4.0,59.0,di,0.0,0.0,0.0,0.0,0.0
466215,it_48,1.0,4.0,60.0,guerra,318.0,318.0,318.0,1.0,1.0
466216,it_48,1.0,4.0,61.0,e,73.0,73.0,73.0,1.0,1.0
466217,it_48,1.0,4.0,62.0,chiuse,179.0,179.0,179.0,1.0,1.0
466218,it_48,1.0,4.0,63.0,in,121.0,121.0,121.0,1.0,1.0
466219,it_48,1.0,4.0,64.0,tempo,216.0,216.0,216.0,1.0,1.0
466220,it_48,1.0,4.0,65.0,di,0.0,0.0,0.0,0.0,0.0
466221,it_48,1.0,4.0,66.0,pace.,243.0,243.0,243.0,1.0,1.0
466222,it_48,1.0,5.0,67.0,Come,409.0,409.0,409.0,1.0,1.0
466223,it_48,1.0,5.0,68.0,dio,0.0,0.0,0.0,0.0,0.0
466224,it_48,1.0,5.0,69.0,dei,189.0,189.0,189.0,1.0,1.0
466225,it_48,1.0,5.0,70.0,"cancelli,",163.0,336.0,336.0,2.0,2.0
466226,it_48,1.0,5.0,71.0,era,165.0,165.0,165.0,1.0,1.0
466227,it_48,1.0,5.0,72.0,anche,254.0,254.0,254.0,1.0,1.0
466228,it_48,1.0,5.0,73.0,associato,164.0,395.0,395.0,2.0,2.0
466229,it_48,1.0,5.0,74.0,all’entrare,223.0,508.0,508.0,2.0,2.0
466230,it_48,1.0,5.0,75.0,ed,0.0,0.0,0.0,0.0,0.0
466231,it_48,1.0,5.0,76.0,uscire,217.0,387.0,387.0,2.0,2.0
466232,it_48,1.0,5.0,77.0,attraverso,193.0,335.0,335.0,2.0,2.0
466233,it_48,1.0,5.0,78.0,le,0.0,0.0,0.0,0.0,0.0
466234,it_48,1.0,5.0,79.0,porte,164.0,164.0,164.0,1.0,1.0
466235,it_48,1.0,5.0,80.0,di,55.0,55.0,55.0,1.0,1.0
466236,it_48,1.0,5.0,81.0,casa.,237.0,296.0,296.0,2.0,2.0
466237,it_48,1.0,6.0,82.0,Giano,113.0,113.0,446.0,1.0,3.0
466238,it_48,1.0,6.0,83.0,simboleggiava,208.0,408.0,408.0,2.0,2.0
466239,it_48,1.0,6.0,84.0,di,0.0,0.0,0.0,0.0,0.0
466240,it_48,1.0,6.0,85.0,frequente,195.0,372.0,562.0,2.0,3.0
466241,it_48,1.0,6.0,86.0,il,0.0,0.0,0.0,0.0,0.0
466242,it_48,1.0,6.0,87.0,cambiamento,212.0,383.0,530.0,2.0,3.0
466243,it_48,1.0,6.0,88.0,e,0.0,0.0,0.0,0.0,0.0
466244,it_48,1.0,6.0,89.0,le,162.0,162.0,162.0,1.0,1.0
466245,it_48,1.0,6.0,90.0,"transizioni,",188.0,188.0,854.0,1.0,4.0
466246,it_48,1.0,6.0,91.0,come,56.0,56.0,274.0,1.0,2.0
466247,it_48,1.0,6.0,92.0,il,181.0,181.0,181.0,1.0,1.0
466248,it_48,1.0,6.0,93.0,progredire,174.0,325.0,732.0,2.0,4.0
466249,it_48,1.0,6.0,94.0,da,290.0,290.0,290.0,1.0,1.0
466250,it_48,1.0,6.0,95.0,una,0.0,0.0,0.0,0.0,0.0
466251,it_48,1.0,6.0,96.0,condizione,323.0,478.0,478.0,2.0,2.0
466252,it_48,1.0,6.0,97.0,all’,0.0,0.0,0.0,0.0,0.0
466253,it_48,1.0,6.0,98.0,"altra,",133.0,133.0,133.0,1.0,1.0
466254,it_48,1.0,6.0,99.0,da,114.0,114.0,335.0,1.0,2.0
466255,it_48,1.0,6.0,100.0,una,264.0,264.0,264.0,1.0,1.0
466256,it_48,1.0,6.0,101.0,visione,163.0,163.0,163.0,1.0,1.0
466257,it_48,1.0,6.0,102.0,"all’altra,",196.0,196.0,196.0,1.0,1.0
466258,it_48,1.0,6.0,103.0,e,0.0,0.0,0.0,0.0,0.0
466259,it_48,1.0,6.0,104.0,la,0.0,0.0,0.0,0.0,0.0
466260,it_48,1.0,6.0,105.0,crescita,207.0,339.0,339.0,2.0,2.0
466261,it_48,1.0,6.0,106.0,dalla,190.0,190.0,190.0,1.0,1.0
466262,it_48,1.0,6.0,107.0,giovinezza,191.0,191.0,450.0,1.0,2.0
466263,it_48,1.0,6.0,108.0,fino,282.0,282.0,282.0,1.0,1.0
466264,it_48,1.0,6.0,109.0,all’età,96.0,96.0,96.0,1.0,1.0
466265,it_48,1.0,6.0,110.0,adulta.,142.0,142.0,142.0,1.0,1.0
466266,it_48,1.0,7.0,111.0,Dunque,220.0,220.0,220.0,1.0,1.0
466267,it_48,1.0,7.0,112.0,Giano,173.0,173.0,173.0,1.0,1.0
466268,it_48,1.0,7.0,113.0,era,235.0,235.0,235.0,1.0,1.0
466269,it_48,1.0,7.0,114.0,celebrato,81.0,81.0,275.0,1.0,2.0
466270,it_48,1.0,7.0,115.0,all’inizio,120.0,324.0,324.0,2.0,2.0
466271,it_48,1.0,7.0,116.0,del,0.0,0.0,0.0,0.0,0.0
466272,it_48,1.0,7.0,117.0,raccolto,290.0,290.0,290.0,1.0,1.0
466273,it_48,1.0,7.0,118.0,e,0.0,0.0,0.0,0.0,0.0
466274,it_48,1.0,7.0,119.0,al,295.0,295.0,295.0,1.0,1.0
466275,it_48,1.0,7.0,120.0,tempo,0.0,0.0,0.0,0.0,0.0
466276,it_48,1.0,7.0,121.0,della,195.0,195.0,195.0,1.0,1.0
466277,it_48,1.0,7.0,122.0,"semina,",280.0,280.0,280.0,1.0,1.0
466278,it_48,1.0,7.0,123.0,così,231.0,231.0,340.0,1.0,2.0
466279,it_48,1.0,7.0,124.0,come,280.0,280.0,280.0,1.0,1.0
466280,it_48,1.0,7.0,125.0,in,198.0,198.0,198.0,1.0,1.0
466281,it_48,1.0,7.0,126.0,occasione,135.0,135.0,341.0,1.0,2.0
466282,it_48,1.0,7.0,127.0,di,0.0,0.0,0.0,0.0,0.0
466283,it_48,1.0,7.0,128.0,"matrimoni,",299.0,299.0,299.0,1.0,1.0
466284,it_48,1.0,7.0,129.0,"morti,",278.0,278.0,278.0,1.0,1.0
466285,it_48,1.0,7.0,130.0,e,0.0,0.0,0.0,0.0,0.0
466286,it_48,1.0,7.0,131.0,altri,310.0,310.0,310.0,1.0,1.0
466287,it_48,1.0,7.0,132.0,tipi,150.0,150.0,150.0,1.0,1.0
466288,it_48,1.0,7.0,133.0,di,0.0,0.0,0.0,0.0,0.0
466289,it_48,1.0,7.0,134.0,inizi.,354.0,354.0,602.0,1.0,2.0
466290,it_48,1.0,8.0,135.0,Giano,121.0,121.0,348.0,1.0,2.0
466291,it_48,1.0,8.0,136.0,non,118.0,118.0,118.0,1.0,1.0
466292,it_48,1.0,8.0,137.0,aveva,212.0,212.0,315.0,1.0,2.0
466293,it_48,1.0,8.0,138.0,sacerdoti,192.0,192.0,402.0,1.0,2.0
466294,it_48,1.0,8.0,139.0,specificatamente,226.0,226.0,226.0,1.0,1.0
466295,it_48,1.0,8.0,140.0,assegnati,258.0,258.0,258.0,1.0,1.0
466296,it_48,1.0,8.0,141.0,a,0.0,0.0,0.0,0.0,0.0
466297,it_48,1.0,8.0,142.0,"sé,",233.0,233.0,233.0,1.0,1.0
466298,it_48,1.0,8.0,143.0,ma,251.0,251.0,327.0,1.0,2.0
466299,it_48,1.0,8.0,144.0,l’alto,143.0,443.0,697.0,2.0,3.0
466300,it_48,1.0,8.0,145.0,sacerdote,244.0,324.0,784.0,2.0,4.0
466301,it_48,1.0,8.0,146.0,stesso,255.0,255.0,631.0,1.0,3.0
466302,it_48,1.0,8.0,147.0,presiedeva,370.0,685.0,1072.0,3.0,5.0
466303,it_48,1.0,8.0,148.0,le,393.0,393.0,393.0,1.0,1.0
466304,it_48,1.0,8.0,149.0,sue,110.0,110.0,110.0,1.0,1.0
466305,it_48,1.0,8.0,150.0,cerimonie.,119.0,333.0,333.0,2.0,2.0
466306,it_48,1.0,9.0,151.0,Giano,238.0,238.0,238.0,1.0,1.0
466307,it_48,1.0,9.0,152.0,rappresentava,220.0,404.0,404.0,2.0,2.0
466308,it_48,1.0,9.0,153.0,la,0.0,0.0,0.0,0.0,0.0
466309,it_48,1.0,9.0,154.0,via,235.0,235.0,235.0,1.0,1.0
