,uniform_id,trialid,sentnum,ianum,ia,firstfix_dur,firstrun_dur,dur,firstrun_nfix,nfix
433620,it_26,1.0,1.0,1.0,Negli,158.0,158.0,158.0,1.0,1.0
433621,it_26,1.0,1.0,2.0,antichi,241.0,383.0,383.0,2.0,2.0
433622,it_26,1.0,1.0,3.0,miti,229.0,229.0,421.0,1.0,2.0
433623,it_26,1.0,1.0,4.0,e,0.0,0.0,0.0,0.0,0.0
433624,it_26,1.0,1.0,5.0,religioni,206.0,206.0,634.0,1.0,3.0
433625,it_26,1.0,1.0,6.0,"Romane,",213.0,213.0,421.0,1.0,2.0
433626,it_26,1.0,1.0,7.0,Giano,370.0,370.0,370.0,1.0,1.0
433627,it_26,1.0,1.0,8.0,è,164.0,164.0,164.0,1.0,1.0
433628,it_26,1.0,1.0,9.0,il,0.0,0.0,0.0,0.0,0.0
433629,it_26,1.0,1.0,10.0,dio,297.0,297.0,297.0,1.0,1.0
433630,it_26,1.0,1.0,11.0,degli,182.0,182.0,537.0,1.0,3.0
433631,it_26,1.0,1.0,12.0,inizi,341.0,341.0,919.0,1.0,3.0
433632,it_26,1.0,1.0,13.0,e,181.0,181.0,181.0,1.0,1.0
433633,it_26,1.0,1.0,14.0,dei,0.0,0.0,0.0,0.0,0.0
433634,it_26,1.0,1.0,15.0,cancelli.,88.0,88.0,1564.0,1.0,7.0
433635,it_26,1.0,2.0,16.0,Egli,0.0,0.0,0.0,0.0,0.0
433636,it_26,1.0,2.0,17.0,ha,0.0,0.0,0.0,0.0,0.0
433637,it_26,1.0,2.0,18.0,una,245.0,245.0,245.0,1.0,1.0
433638,it_26,1.0,2.0,19.0,doppia,228.0,228.0,228.0,1.0,1.0
433639,it_26,1.0,2.0,20.0,natura,216.0,216.0,216.0,1.0,1.0
433640,it_26,1.0,2.0,21.0,ed,219.0,219.0,219.0,1.0,1.0
433641,it_26,1.0,2.0,22.0,è,0.0,0.0,0.0,0.0,0.0
433642,it_26,1.0,2.0,23.0,solitamente,118.0,290.0,290.0,2.0,2.0
433643,it_26,1.0,2.0,24.0,rappresentato,165.0,374.0,374.0,2.0,2.0
433644,it_26,1.0,2.0,25.0,come,250.0,250.0,250.0,1.0,1.0
433645,it_26,1.0,2.0,26.0,avente,174.0,174.0,332.0,1.0,2.0
433646,it_26,1.0,2.0,27.0,due,195.0,195.0,195.0,1.0,1.0
433647,it_26,1.0,2.0,28.0,"facce,",138.0,138.0,138.0,1.0,1.0
433648,it_26,1.0,2.0,29.0,poiché,0.0,0.0,0.0,0.0,0.0
433649,it_26,1.0,2.0,30.0,vede,232.0,232.0,232.0,1.0,1.0
433650,it_26,1.0,2.0,31.0,nel,160.0,160.0,160.0,1.0,1.0
433651,it_26,1.0,2.0,32.0,passato,237.0,237.0,237.0,1.0,1.0
433652,it_26,1.0,2.0,33.0,e,0.0,0.0,0.0,0.0,0.0
433653,it_26,1.0,2.0,34.0,nel,416.0,674.0,674.0,2.0,2.0
433654,it_26,1.0,2.0,35.0,futuro.,180.0,180.0,180.0,1.0,1.0
433655,it_26,1.0,3.0,36.0,Giano,192.0,192.0,390.0,1.0,2.0
433656,it_26,1.0,3.0,37.0,presiede,174.0,294.0,500.0,2.0,3.0
433657,it_26,1.0,3.0,38.0,sull’inizio,432.0,902.0,902.0,3.0,3.0
433658,it_26,1.0,3.0,39.0,e,0.0,0.0,0.0,0.0,0.0
433659,it_26,1.0,3.0,40.0,sulla,316.0,407.0,407.0,2.0,2.0
433660,it_26,1.0,3.0,41.0,fine,0.0,0.0,0.0,0.0,0.0
433661,it_26,1.0,3.0,42.0,dei,73.0,73.0,284.0,1.0,2.0
433662,it_26,1.0,3.0,43.0,"conflitti,",166.0,166.0,592.0,1.0,2.0
433663,it_26,1.0,3.0,44.0,e,0.0,0.0,0.0,0.0,0.0
433664,it_26,1.0,3.0,45.0,quindi,234.0,234.0,234.0,1.0,1.0
433665,it_26,1.0,3.0,46.0,su,202.0,202.0,202.0,1.0,1.0
433666,it_26,1.0,3.0,47.0,guerra,0.0,0.0,0.0,0.0,0.0
433667,it_26,1.0,3.0,48.0,e,312.0,491.0,491.0,2.0,2.0
433668,it_26,1.0,3.0,49.0,pace.,0.0,0.0,0.0,0.0,0.0
433669,it_26,1.0,4.0,50.0,Le,175.0,175.0,388.0,1.0,2.0
433670,it_26,1.0,4.0,51.0,porte,220.0,220.0,569.0,1.0,3.0
433671,it_26,1.0,4.0,52.0,del,272.0,272.0,521.0,1.0,2.0
433672,it_26,1.0,4.0,53.0,suo,124.0,124.0,124.0,1.0,1.0
433673,it_26,1.0,4.0,54.0,tempio,218.0,218.0,576.0,1.0,3.0
433674,it_26,1.0,4.0,55.0,erano,195.0,195.0,428.0,1.0,2.0
433675,it_26,1.0,4.0,56.0,aperte,214.0,214.0,778.0,1.0,4.0
433676,it_26,1.0,4.0,57.0,in,197.0,197.0,197.0,1.0,1.0
433677,it_26,1.0,4.0,58.0,tempo,223.0,223.0,669.0,1.0,4.0
433678,it_26,1.0,4.0,59.0,di,166.0,166.0,166.0,1.0,1.0
433679,it_26,1.0,4.0,60.0,guerra,279.0,279.0,859.0,1.0,4.0
433680,it_26,1.0,4.0,61.0,e,75.0,75.0,75.0,1.0,1.0
433681,it_26,1.0,4.0,62.0,chiuse,125.0,303.0,430.0,2.0,3.0
433682,it_26,1.0,4.0,63.0,in,181.0,181.0,181.0,1.0,1.0
433683,it_26,1.0,4.0,64.0,tempo,464.0,464.0,624.0,1.0,2.0
433684,it_26,1.0,4.0,65.0,di,0.0,0.0,0.0,0.0,0.0
433685,it_26,1.0,4.0,66.0,pace.,259.0,259.0,259.0,1.0,1.0
433686,it_26,1.0,5.0,67.0,Come,132.0,132.0,132.0,1.0,1.0
433687,it_26,1.0,5.0,68.0,dio,155.0,155.0,299.0,1.0,2.0
433688,it_26,1.0,5.0,69.0,dei,258.0,425.0,647.0,2.0,3.0
433689,it_26,1.0,5.0,70.0,"cancelli,",0.0,0.0,0.0,0.0,0.0
433690,it_26,1.0,5.0,71.0,era,204.0,204.0,204.0,1.0,1.0
433691,it_26,1.0,5.0,72.0,anche,166.0,166.0,166.0,1.0,1.0
433692,it_26,1.0,5.0,73.0,associato,266.0,266.0,266.0,1.0,1.0
433693,it_26,1.0,5.0,74.0,all’entrare,181.0,312.0,312.0,2.0,2.0
433694,it_26,1.0,5.0,75.0,ed,0.0,0.0,0.0,0.0,0.0
433695,it_26,1.0,5.0,76.0,uscire,278.0,278.0,589.0,1.0,3.0
433696,it_26,1.0,5.0,77.0,attraverso,213.0,213.0,413.0,1.0,2.0
433697,it_26,1.0,5.0,78.0,le,0.0,0.0,0.0,0.0,0.0
433698,it_26,1.0,5.0,79.0,porte,206.0,206.0,206.0,1.0,1.0
433699,it_26,1.0,5.0,80.0,di,75.0,75.0,75.0,1.0,1.0
433700,it_26,1.0,5.0,81.0,casa.,405.0,405.0,405.0,1.0,1.0
433701,it_26,1.0,6.0,82.0,Giano,106.0,106.0,106.0,1.0,1.0
433702,it_26,1.0,6.0,83.0,simboleggiava,303.0,532.0,532.0,2.0,2.0
433703,it_26,1.0,6.0,84.0,di,60.0,60.0,60.0,1.0,1.0
433704,it_26,1.0,6.0,85.0,frequente,200.0,349.0,349.0,2.0,2.0
433705,it_26,1.0,6.0,86.0,il,0.0,0.0,0.0,0.0,0.0
433706,it_26,1.0,6.0,87.0,cambiamento,179.0,313.0,313.0,2.0,2.0
433707,it_26,1.0,6.0,88.0,e,0.0,0.0,0.0,0.0,0.0
433708,it_26,1.0,6.0,89.0,le,243.0,243.0,243.0,1.0,1.0
433709,it_26,1.0,6.0,90.0,"transizioni,",171.0,171.0,670.0,1.0,3.0
433710,it_26,1.0,6.0,91.0,come,0.0,0.0,0.0,0.0,0.0
433711,it_26,1.0,6.0,92.0,il,165.0,165.0,165.0,1.0,1.0
433712,it_26,1.0,6.0,93.0,progredire,213.0,213.0,356.0,1.0,2.0
433713,it_26,1.0,6.0,94.0,da,0.0,0.0,0.0,0.0,0.0
433714,it_26,1.0,6.0,95.0,una,315.0,315.0,315.0,1.0,1.0
433715,it_26,1.0,6.0,96.0,condizione,224.0,224.0,360.0,1.0,2.0
433716,it_26,1.0,6.0,97.0,all’,214.0,214.0,214.0,1.0,1.0
433717,it_26,1.0,6.0,98.0,"altra,",343.0,343.0,343.0,1.0,1.0
433718,it_26,1.0,6.0,99.0,da,0.0,0.0,0.0,0.0,0.0
433719,it_26,1.0,6.0,100.0,una,273.0,273.0,273.0,1.0,1.0
433720,it_26,1.0,6.0,101.0,visione,80.0,80.0,230.0,1.0,2.0
433721,it_26,1.0,6.0,102.0,"all’altra,",249.0,656.0,656.0,2.0,2.0
433722,it_26,1.0,6.0,103.0,e,0.0,0.0,0.0,0.0,0.0
433723,it_26,1.0,6.0,104.0,la,280.0,280.0,280.0,1.0,1.0
433724,it_26,1.0,6.0,105.0,crescita,235.0,235.0,399.0,1.0,2.0
433725,it_26,1.0,6.0,106.0,dalla,380.0,380.0,380.0,1.0,1.0
433726,it_26,1.0,6.0,107.0,giovinezza,254.0,254.0,254.0,1.0,1.0
433727,it_26,1.0,6.0,108.0,fino,198.0,198.0,198.0,1.0,1.0
433728,it_26,1.0,6.0,109.0,all’età,94.0,244.0,244.0,2.0,2.0
433729,it_26,1.0,6.0,110.0,adulta.,244.0,244.0,244.0,1.0,1.0
433730,it_26,1.0,7.0,111.0,Dunque,159.0,159.0,159.0,1.0,1.0
433731,it_26,1.0,7.0,112.0,Giano,155.0,155.0,155.0,1.0,1.0
433732,it_26,1.0,7.0,113.0,era,185.0,185.0,185.0,1.0,1.0
433733,it_26,1.0,7.0,114.0,celebrato,221.0,294.0,294.0,2.0,2.0
433734,it_26,1.0,7.0,115.0,all’inizio,108.0,375.0,375.0,2.0,2.0
433735,it_26,1.0,7.0,116.0,del,280.0,280.0,280.0,1.0,1.0
433736,it_26,1.0,7.0,117.0,raccolto,138.0,138.0,314.0,1.0,2.0
433737,it_26,1.0,7.0,118.0,e,0.0,0.0,0.0,0.0,0.0
433738,it_26,1.0,7.0,119.0,al,0.0,0.0,0.0,0.0,0.0
433739,it_26,1.0,7.0,120.0,tempo,520.0,520.0,776.0,1.0,2.0
433740,it_26,1.0,7.0,121.0,della,204.0,375.0,375.0,2.0,2.0
433741,it_26,1.0,7.0,122.0,"semina,",185.0,185.0,336.0,1.0,2.0
433742,it_26,1.0,7.0,123.0,così,0.0,0.0,0.0,0.0,0.0
433743,it_26,1.0,7.0,124.0,come,268.0,268.0,268.0,1.0,1.0
433744,it_26,1.0,7.0,125.0,in,166.0,166.0,166.0,1.0,1.0
433745,it_26,1.0,7.0,126.0,occasione,181.0,181.0,181.0,1.0,1.0
433746,it_26,1.0,7.0,127.0,di,0.0,0.0,0.0,0.0,0.0
433747,it_26,1.0,7.0,128.0,"matrimoni,",207.0,499.0,499.0,2.0,2.0
433748,it_26,1.0,7.0,129.0,"morti,",275.0,275.0,275.0,1.0,1.0
433749,it_26,1.0,7.0,130.0,e,237.0,237.0,237.0,1.0,1.0
433750,it_26,1.0,7.0,131.0,altri,252.0,252.0,252.0,1.0,1.0
433751,it_26,1.0,7.0,132.0,tipi,0.0,0.0,0.0,0.0,0.0
433752,it_26,1.0,7.0,133.0,di,187.0,187.0,187.0,1.0,1.0
433753,it_26,1.0,7.0,134.0,inizi.,296.0,296.0,296.0,1.0,1.0
433754,it_26,1.0,8.0,135.0,Giano,110.0,110.0,110.0,1.0,1.0
433755,it_26,1.0,8.0,136.0,non,326.0,326.0,326.0,1.0,1.0
433756,it_26,1.0,8.0,137.0,aveva,214.0,214.0,746.0,1.0,2.0
433757,it_26,1.0,8.0,138.0,sacerdoti,253.0,253.0,412.0,1.0,2.0
433758,it_26,1.0,8.0,139.0,specificatamente,355.0,355.0,892.0,1.0,2.0
433759,it_26,1.0,8.0,140.0,assegnati,153.0,409.0,409.0,2.0,2.0
433760,it_26,1.0,8.0,141.0,a,259.0,259.0,259.0,1.0,1.0
433761,it_26,1.0,8.0,142.0,"sé,",230.0,230.0,230.0,1.0,1.0
433762,it_26,1.0,8.0,143.0,ma,0.0,0.0,0.0,0.0,0.0
433763,it_26,1.0,8.0,144.0,l’alto,259.0,259.0,259.0,1.0,1.0
433764,it_26,1.0,8.0,145.0,sacerdote,175.0,499.0,499.0,2.0,2.0
433765,it_26,1.0,8.0,146.0,stesso,278.0,278.0,278.0,1.0,1.0
433766,it_26,1.0,8.0,147.0,presiedeva,141.0,599.0,599.0,2.0,2.0
433767,it_26,1.0,8.0,148.0,le,0.0,0.0,0.0,0.0,0.0
433768,it_26,1.0,8.0,149.0,sue,229.0,229.0,229.0,1.0,1.0
433769,it_26,1.0,8.0,150.0,cerimonie.,268.0,612.0,612.0,2.0,2.0
433770,it_26,1.0,9.0,151.0,Giano,125.0,125.0,902.0,1.0,3.0
433771,it_26,1.0,9.0,152.0,rappresentava,208.0,208.0,583.0,1.0,3.0
433772,it_26,1.0,9.0,153.0,la,0.0,0.0,0.0,0.0,0.0
433773,it_26,1.0,9.0,154.0,via,234.0,234.0,234.0,1.0,1.0
433774,it_26,1.0,9.0,155.0,di,0.0,0.0,0.0,0.0,0.0
433775,it_26,1.0,9.0,156.0,mezzo,267.0,504.0,504.0,2.0,2.0
433776,it_26,1.0,9.0,157.0,tra,167.0,167.0,167.0,1.0,1.0
433777,it_26,1.0,9.0,158.0,civiltà,150.0,150.0,150.0,1.0,1.0
433778,it_26,1.0,9.0,159.0,e,0.0,0.0,0.0,0.0,0.0
433779,it_26,1.0,9.0,160.0,"barbarie,",247.0,508.0,672.0,2.0,3.0
433780,it_26,1.0,9.0,161.0,spazio,168.0,168.0,168.0,1.0,1.0
433781,it_26,1.0,9.0,162.0,urbano,278.0,278.0,505.0,1.0,2.0
433782,it_26,1.0,9.0,163.0,e,0.0,0.0,0.0,0.0,0.0
433783,it_26,1.0,9.0,164.0,"rurale,",364.0,364.0,364.0,1.0,1.0
433784,it_26,1.0,9.0,165.0,giovinezza,211.0,211.0,211.0,1.0,1.0
433785,it_26,1.0,9.0,166.0,e,124.0,124.0,124.0,1.0,1.0
433786,it_26,1.0,9.0,167.0,età,156.0,156.0,156.0,1.0,1.0
433787,it_26,1.0,9.0,168.0,adulta.,114.0,349.0,349.0,2.0,2.0
433788,it_26,1.0,10.0,169.0,Gli,192.0,192.0,192.0,1.0,1.0
433789,it_26,1.0,10.0,170.0,antichi,168.0,168.0,168.0,1.0,1.0
433790,it_26,1.0,10.0,171.0,greci,209.0,209.0,209.0,1.0,1.0
433791,it_26,1.0,10.0,172.0,non,0.0,0.0,0.0,0.0,0.0
433792,it_26,1.0,10.0,173.0,avevano,229.0,370.0,370.0,2.0,2.0
433793,it_26,1.0,10.0,174.0,un,0.0,0.0,0.0,0.0,0.0
433794,it_26,1.0,10.0,175.0,equivalente,300.0,300.0,300.0,1.0,1.0
433795,it_26,1.0,10.0,176.0,di,0.0,0.0,0.0,0.0,0.0
433796,it_26,1.0,10.0,177.0,"Giano,",234.0,394.0,857.0,2.0,3.0
433797,it_26,1.0,10.0,178.0,che,0.0,0.0,0.0,0.0,0.0
433798,it_26,1.0,10.0,179.0,i,153.0,153.0,153.0,1.0,1.0
433799,it_26,1.0,10.0,180.0,Romani,186.0,186.0,186.0,1.0,1.0
433800,it_26,1.0,10.0,181.0,sostenevano,273.0,273.0,273.0,1.0,1.0
433801,it_26,1.0,10.0,182.0,appartenere,112.0,230.0,230.0,2.0,2.0
433802,it_26,1.0,10.0,183.0,distintamente,154.0,483.0,483.0,2.0,2.0
433803,it_26,1.0,10.0,184.0,a,0.0,0.0,0.0,0.0,0.0
433804,it_26,1.0,10.0,185.0,loro.,98.0,921.0,921.0,4.0,4.0
433805,it_26,2.0,1.0,1.0,Il,54.0,54.0,54.0,1.0,1.0
433806,it_26,2.0,1.0,2.0,saluto,216.0,216.0,216.0,1.0,1.0
433807,it_26,2.0,1.0,3.0,dei,172.0,172.0,377.0,1.0,2.0
433808,it_26,2.0,1.0,4.0,surfisti,150.0,150.0,424.0,1.0,3.0
433809,it_26,2.0,1.0,5.0,viene,0.0,0.0,0.0,0.0,0.0
433810,it_26,2.0,1.0,6.0,chiamato,85.0,369.0,369.0,2.0,2.0
433811,it_26,2.0,1.0,7.0,“hang,198.0,198.0,436.0,1.0,2.0
433812,it_26,2.0,1.0,8.0,loose”,206.0,206.0,206.0,1.0,1.0
433813,it_26,2.0,1.0,9.0,oppure,145.0,333.0,333.0,2.0,2.0
433814,it_26,2.0,1.0,10.0,“shaka,161.0,665.0,911.0,3.0,4.0
433815,it_26,2.0,1.0,11.0,brah”.,314.0,608.0,608.0,2.0,2.0
433816,it_26,2.0,2.0,12.0,E’,232.0,232.0,232.0,1.0,1.0
433817,it_26,2.0,2.0,13.0,un,0.0,0.0,0.0,0.0,0.0
433818,it_26,2.0,2.0,14.0,saluto,315.0,315.0,315.0,1.0,1.0
433819,it_26,2.0,2.0,15.0,che,0.0,0.0,0.0,0.0,0.0
433820,it_26,2.0,2.0,16.0,si,0.0,0.0,0.0,0.0,0.0
433821,it_26,2.0,2.0,17.0,fa,264.0,460.0,460.0,2.0,2.0
